City,Region,Population (2023),
Ancona,Marche,473865,
Bari,Puglia,1247303,
Bergamo,Lombardia,1103768,
Bologna,Emilia-Romagna,1011658,
Bolzano,Trentino-Alto Adige,533267,
Caserta,Compania,904921,
Catanzaro,Calabria,359841,
Cortina d'Ampezzo,Veneto,5546,
Fiumicino,Lazio,81426,
Florence,Tuscany,984991,
Foggia,Puglia,626072,
Genoa,Liguria,855834,
La Spezia,Liguria,219330,
Lamezia Terme,Calabria,67026,
Lecce,Puglia,802018,
Matera,Basilicata,200101,
Milan,Lombardia,3219391,
Naples,Compania,3054956,
Padova,Veneto,928374,
Perugia,Umbria,655844,
Pescara,Abruzzo,314661,
Piacanza,Emilia-Romagna,284616,
Pisa,Tuscany,416323,
Potenza,Basilicata,377935,
Ravenna,Emilia-Romagna,155751,
Reggio di Calabria,Calabria,550967,
Rome,Lazio,4216553,
Salerno,Campania,134840,
San Giorgio a Cremona,Lombardia,357623,
Siena,Tuscany,266621,
Taranto,Puglia,584649,
Trieste,Friuli-Venezia Giulia,232601
Turin,Piemonte,2247780,
Venice,Veneto,846962,
Verona,Veneto,923950,



Data collected from: https://www.citypopulation.de/en/italy/
